alpha,beta,seed,variant,C,P,generalization_score,sample_recall_score
1.0,0.1,2,A,4,32,0.6484375,0.828125
1.0,0.3,2,A,4,32,0.57421875,1.0
1.0,0.5,2,A,4,32,0.54296875,1.0
1.0,1.881880760192871,2,B,4,32,0.7421875,0.8203125
1.0,0.1,3,A,4,32,0.7421875,0.84765625
1.0,0.3,3,A,4,32,0.7734375,1.0
1.0,0.5,3,A,4,32,0.6953125,1.0
1.0,1.920830488204956,3,B,4,32,0.6015625,0.81640625
1.0,0.1,4,A,4,32,0.82421875,0.80078125
1.0,0.3,4,A,4,32,0.86328125,1.0
1.0,0.5,4,A,4,32,0.8046875,1.0
1.0,1.947300672531128,4,B,4,32,0.6953125,0.83984375
5.0,0.1,0,A,4,160,0.765625,0.55859375
5.0,0.3,0,A,4,160,0.796875,0.96875
5.0,0.5,0,A,4,160,0.70703125,0.9921875
5.0,1.8549797534942627,0,B,4,160,0.75,0.67578125
5.0,0.1,1,A,4,160,0.7890625,0.6640625
5.0,0.3,1,A,4,160,0.8671875,0.94921875
5.0,0.5,1,A,4,160,0.765625,0.97265625
5.0,1.8503700494766235,1,B,4,160,0.79296875,0.69921875
5.0,0.1,2,A,4,160,0.734375,0.546875
5.0,0.3,2,A,4,160,0.80078125,0.94921875
5.0,0.5,2,A,4,160,0.703125,0.96484375
5.0,1.86539888381958,2,B,4,160,0.72265625,0.67578125
5.0,0.1,3,A,4,160,0.7734375,0.62109375
5.0,0.3,3,A,4,160,0.859375,0.953125
5.0,0.5,3,A,4,160,0.78515625,0.98828125
5.0,1.813424825668335,3,B,4,160,0.796875,0.6796875
5.0,0.1,4,A,4,160,0.79296875,0.67578125
5.0,0.3,4,A,4,160,0.80859375,0.953125
5.0,0.5,4,A,4,160,0.71875,0.984375
5.0,1.8513003587722778,4,B,4,160,0.82421875,0.73828125
10.0,0.1,0,A,4,320,0.74609375,0.5390625
10.0,0.3,0,A,4,320,0.8046875,0.8984375
10.0,0.5,0,A,4,320,0.73046875,0.97265625
10.0,1.8422821760177612,0,B,4,320,0.83984375,0.66015625
10.0,0.1,1,A,4,320,0.70703125,0.62890625
10.0,0.3,1,A,4,320,0.78515625,0.92578125
10.0,0.5,1,A,4,320,0.7421875,0.953125
10.0,1.8247923851013184,1,B,4,320,0.78515625,0.62109375
10.0,0.1,2,A,4,320,0.77734375,0.53515625
10.0,0.3,2,A,4,320,0.82421875,0.890625
10.0,0.5,2,A,4,320,0.703125,0.953125
10.0,1.8835735321044922,2,B,4,320,0.77734375,0.609375
10.0,0.1,3,A,4,320,0.76953125,0.58203125
10.0,0.3,3,A,4,320,0.82421875,0.921875
10.0,0.5,3,A,4,320,0.7578125,1.0
10.0,1.8561125993728638,3,B,4,320,0.79296875,0.640625
10.0,0.1,4,A,4,320,0.65625,0.59375
10.0,0.3,4,A,4,320,0.7578125,0.85546875
10.0,0.5,4,A,4,320,0.6796875,0.94140625
10.0,1.8573626279830933,4,B,4,320,0.828125,0.61328125
20.0,0.1,0,A,4,640,0.7890625,0.6015625
20.0,0.3,0,A,4,640,0.88671875,0.8203125
20.0,0.5,0,A,4,640,0.78125,0.9375
20.0,1.8210804462432861,0,B,4,640,0.83203125,0.68359375
20.0,0.1,1,A,4,640,0.86328125,0.59375
20.0,0.3,1,A,4,640,0.9296875,0.8515625
20.0,0.5,1,A,4,640,0.86328125,0.96484375
20.0,1.880900263786316,1,B,4,640,0.8046875,0.640625
20.0,0.1,2,A,4,640,0.7890625,0.515625
20.0,0.3,2,A,4,640,0.9140625,0.8125
20.0,0.5,2,A,4,640,0.80859375,0.98046875
20.0,1.8545169830322266,2,B,4,640,0.8203125,0.68359375
20.0,0.1,3,A,4,640,0.84765625,0.7109375
20.0,0.3,3,A,4,640,0.93359375,0.87109375
20.0,0.5,3,A,4,640,0.8671875,0.9609375
20.0,1.8315120935440063,3,B,4,640,0.8046875,0.6328125
20.0,0.1,4,A,4,640,0.796875,0.6328125
20.0,0.3,4,A,4,640,0.85546875,0.83203125
20.0,0.5,4,A,4,640,0.7734375,0.8828125
20.0,1.8656858205795288,4,B,4,640,0.88671875,0.58984375
50.0,0.1,0,A,4,1600,0.80078125,0.48046875
50.0,0.3,0,A,4,1600,0.9140625,0.75390625
50.0,0.5,0,A,4,1600,0.83984375,0.91015625
50.0,1.8515230417251587,0,B,4,1600,0.79296875,0.62890625
50.0,0.1,1,A,4,1600,0.828125,0.578125
50.0,0.3,1,A,4,1600,0.90625,0.75
50.0,0.5,1,A,4,1600,0.8203125,0.8828125
50.0,1.8879584074020386,1,B,4,1600,0.84375,0.63671875
50.0,0.1,2,A,4,1600,0.765625,0.5546875
50.0,0.3,2,A,4,1600,0.88671875,0.73828125
50.0,0.5,2,A,4,1600,0.81640625,0.9453125
50.0,1.8561292886734009,2,B,4,1600,0.84765625,0.6171875
